family,d,p,q,n,rho,method,method_description,credit,credit_evidence_grade,credit_evidence,extended_status,tie,tie_note,parent,chain_root,credit_note,moller_bound,at_moller_bound,err_float64,err_extended,err_float128,digits_shipped,sum_weights,sum_weights_minus_1,min_weight,max_node_norm,min_face_distance,source_file,source_sha256,source_tree,float64_origin
hermite,2,1,1,1,1.000000,B,"full B_d symmetry (sign flips + permutations), orbit-constant weights",unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,no-tie,"Stroud E_n^{r^2} rules (Burkardt's sources, litcheck/stroud_m/): published count(s) 7, 8, 9 for this cell, ours is 1; Van Zandt, Efficient cubature rules, ETNA 51 (2019) 219-239 (arXiv:1712.07309v3): published count(s) 3, 10 for this cell, ours is 1; literature survey (publish/shared/literature_best.tsv, source key ecf): best published count 4 for this cell, ours is 1",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",1,yes,0.000000e+00,0.000000e+00,0.000000e+00,17+80,1,+0.000e+00,1.000000e+00,0,-,hermite_d2_p1_n1.csv,26c8dfde0c398f46e97b7e003644b0d27e252aafffe3f96a22e4f649541a3cd0,sync,twin-round-down
hermite,2,3,2,4,1.000000,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"distinct:Van Zandt, Efficient cubature rules, ETNA 51 (2019) 219-239 (arXiv:1712.07309v3)","Stroud E_n^{r^2} rules (Burkardt's sources, litcheck/stroud_m/): published count(s) 7, 8, 9 for this cell, ours is 4; equal count n=4, and a different rule: vz_d2_p3_n4.csv: isometry-invariant fingerprints differ (weight multiset 1.102e-01, pairwise-distance multiset 9.532e-01), so no rotation or reflection can bring them together",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",4,yes,1.453773e-16,3.578540e-70,1.110816e-34,17+80,1,+0.000e+00,1.398499e-01,1.890836141,-,hermite_d2_p3_n4.csv,0b430abc7b6884ed957b89ab497b1d7e52435a0b0d73c43627469079c723fe19,sync,twin-round-down
hermite,2,5,3,7,0.881917,F,free nodes (no imposed symmetry),"same-rule:Stroud 1971, E_2^{r^2}:5-4 (identified 2026-09-11; same up to rotation, which the Gaussian weight permits)",none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"same-rule:Stroud 1971, E_2^{r^2}:5-4 (identified 2026-09-11; same up to rotation, which the Gaussian weight permits)","our bank file IS this published rule (rules/literature.tsv), confirmed here against en_r2_05_4_n2_o1.csv",-,-,"our search converged to a rule identical to this published one; the rule is theirs, cite them",7,yes,1.513103e-16,2.677091e-69,1.407772e-34,17+80,1,-2.776e-17,8.333333e-02,2,-,hermite_d2_p5_n7.csv,f00a39474ffad1521527e385f34ecf053454eb159dd040046b969244e7827f9a,sync,twin-round-down
hermite,2,7,4,12,0.866025,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"distinct:Van Zandt, Efficient cubature rules, ETNA 51 (2019) 219-239 (arXiv:1712.07309v3)","equal count n=12, and a different rule: vz_d2_p7_n12.csv: isometry-invariant fingerprints differ (weight multiset 2.786e-02, pairwise-distance multiset 2.968e-01), so no rotation or reflection can bring them together",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",12,yes,2.389014e-16,1.234901e-69,1.576272e-34,17+80,1,+3.469e-18,8.285084e-03,2.950940318,-,hermite_d2_p7_n12.csv,2764b85e1f7b4f695e247092b92fad65777060661590092c26677ea22f518378,sync,twin-round-down
hermite,2,9,5,18,0.848528,L,literature rule,transcribed:Haegemans and Piessens 1977,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,same-rule:Haegemans and Piessens 1977,"our bank file IS this published rule (rules/literature.tsv); the repo holds no 18-node data for this source, so it is taken from the register",-,-,"the published rule itself, copied into the bank; not ours in any sense",17,no,3.837368e-16,6.771746e-69,2.434498e-34,17+80,1,+4.478e-18,9.400916e-07,7.921008633,-,hermite_d2_p9_n18.csv,cc96f18f0f651fa63ecb12300c9b8140f9a952c439026f334ce851504770238f,sync,twin-round-down
hermite,2,11,6,25,0.833333,L,literature rule,"transcribed:Haegemans and Piessens 1976, hexagonal",none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"same-rule:Haegemans and Piessens 1976, hexagonal","our bank file IS this published rule (rules/literature.tsv); the repo holds no 25-node data for this source, so it is taken from the register",-,-,"the published rule itself, copied into the bank; not ours in any sense",24,no,4.015205e-16,1.121496e-79,4.204506e-34,17+80,1,+1.402e-17,1.175292e-07,7.69062077,-,hermite_d2_p11_n25.csv,e3cdfcc2ac8288e5f32fc624e980b747ffe3c9ab8c613773034df3e1b2141a44,sync,twin-round-down
hermite,2,13,7,34,0.832993,L,literature rule,transcribed:Cools and Haegemans 1988,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,same-rule:Cools and Haegemans 1988,"our bank file IS this published rule (rules/literature.tsv); the repo holds no 34-node data for this source, so it is taken from the register",-,-,"the published rule itself, copied into the bank; not ours in any sense",31,no,6.206698e-16,8.861656e-80,5.537905e-34,17+80,1,+1.084e-18,3.858457e-07,6.022074308,-,hermite_d2_p13_n34.csv,8595eaff1ed0dccb43d483d421951d5cbbbc127c8f542c91fdce4e46abea959a,sync,twin-round-down
hermite,2,15,8,44,0.829156,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,"unestablished:R. Cools, An encyclopaedia of cubature formulas, J. Complexity 19 (2003) 445-453; online at nines.cs.kuleuven.be/ecf. Overview tables last modified 2002.","per the literature survey (publish/shared/literature_best.tsv, source key ecf): our n=44 equals the best published count; UNESTABLISHED - the ECF tabulates counts only and its coordinate files are access-restricted, so the two rules have never been compared. Two further routes were swept on 2026-09-11 and neither reaches this cell: Van Zandt's own listings …",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",40,no,6.526680e-16,1.341535e-79,4.508498e-34,17+80,1,+4.736e-17,4.702143e-06,4.819472861,-,hermite_d2_p15_n44.csv,5d1d2f304fd3919e536a78b309a7b16449cdca5f67c4fdc196310c9aa7871d9c,sync,twin-round-down
hermite,2,17,9,55,0.824022,F,free nodes (no imposed symmetry),ours,host-provenance-index,"another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LT0002.tsv (that machine's own log free_d2p17.log), banked 2026-08-30T04:50:33",twin-shipped,no-tie,"literature survey (publish/shared/literature_best.tsv, source key schiff): best published count 57 for this cell, ours is 55",unrecorded,unrecorded,"our own tooling produced this rule — another machine's index of ITS OWN worker logs names this exact file on a production line — comms/provenance/L2ECON-LT0002.tsv (that machine's own log free_d2p17.log), banked 2026-08-30T04:50:33. There is no entry in rules/literature.tsv and no node-level match against the published rules held locally, so this is our work",49,no,8.676900e-16,6.413532e-79,4.603347e-34,17+80,1,+2.485e-17,6.672687e-07,5.225891906,-,hermite_d2_p17_n55.csv,6dff4b2591de2bb6020209fbd0f374f233cbe096051c326b5dc409c71c0640d9,sync,twin-round-down
hermite,2,19,10,68,0.824621,F,free nodes (no imposed symmetry),unrecorded,none,"no sidecar, worker-log or lineage evidence in either local tree",twin-shipped,no-tie,"literature survey (publish/shared/literature_best.tsv, source key ecf): best published count 71 for this cell, ours is 68",unrecorded,unrecorded,"no entry in rules/literature.tsv or rules/lineage/; the per-rule lineage ledger only starts 2026-09-10, so this rule's origin is genuinely unrecorded. No evidence for this cell in any source consulted either: no worker log naming the file, no per-host provenance index naming it (comms/provenance/, which is how the office desktop and the laptop report their own logs), no lineage entry, no cluster harvest ledger (OSPool and Roar finds ARE recorded there), no downgrade entry and no sidecar reaching this count. So this deposit does not show who made it, in either direction",60,no,4.831925e-16,6.789943e-78,4.011113e-34,17+80,1,+1.330e-17,3.147106e-07,5.326573598,-,hermite_d2_p19_n68.csv,e7f2df7bdfc208f5bd631676d2563bec6b42ea0e89c6ed1bfde58841ee1ad30f,sync,twin-round-down
